antecedent,consequent,support,confidence,lift
{7 69 39},{86},0.203,0.983,1.792
{69 86 7},{39},0.203,0.983,2.367
{51 69 39},{86},0.204,0.980,1.787
{69 93 39},{86},0.203,0.982,1.790
{51 69 7},{39},0.202,0.983,2.366
{69 93 7},{39},0.200,0.982,2.366
{51 69 7},{86},0.202,0.983,1.791
{69 93 7},{86},0.201,0.984,1.793
{51 7 39},{86},0.203,0.982,1.790
{51 86 7},{39},0.203,0.982,2.365
{7 93 39},{86},0.202,0.983,1.792
{93 86 7},{39},0.202,0.982,2.365
{51 93 39},{86},0.202,0.981,1.788
{51 93 7},{39},0.200,0.982,2.365
{51 93 7},{86},0.200,0.982,1.791
{69 7},{39},0.207,0.982,2.365
{69 7},{86},0.207,0.982,1.791
{7 39},{86},0.208,0.982,1.790
{86 7},{39},0.208,0.981,2.363
{51 7},{39},0.207,0.981,2.363
{93 7},{39},0.205,0.981,2.363
{51 7},{86},0.207,0.981,1.789
{93 7},{86},0.205,0.982,1.791
{7},{39},0.212,0.981,2.362
{7},{86},0.212,0.981,1.788
